Timestamp;Game Type;Auction Round;Winner;Artist;Amount Paid
2020-01-23 14:51:19.812208;value;1;random_bot-1;Da Vinci;10
2020-01-23 14:51:19.812208;value;2;random_bot-1;Da Vinci;10
2020-01-23 14:51:19.812208;value;3;random_bot-1;Rembrandt;10
2020-01-23 14:51:19.812208;value;4;random_bot-1;Rembrandt;10
2020-01-23 14:51:19.812208;value;5;random_bot-1;Rembrandt;10
2020-01-23 14:51:19.812208;value;6;random_bot-1;Picasso;10
2020-01-23 14:51:19.812208;value;7;random_bot-1;Van Gogh;10
2020-01-23 14:51:41.612525;value;1;random_bot-1;Van Gogh;10
2020-01-23 14:51:41.612525;value;2;random_bot-1;Rembrandt;10
2020-01-23 14:51:41.612525;value;3;random_bot-1;Van Gogh;10
2020-01-23 14:51:41.612525;value;4;random_bot-1;Da Vinci;10
2020-01-23 14:51:41.612525;value;5;random_bot-1;Picasso;10
2020-01-23 14:51:41.612525;value;6;random_bot-1;Van Gogh;10
2020-01-23 14:51:41.612525;value;7;random_bot-1;Da Vinci;10
2020-01-23 14:51:41.612525;value;8;random_bot-1;Van Gogh;10
2020-01-23 14:51:41.612525;value;9;random_bot-1;Van Gogh;10
2020-01-23 14:52:53.927300;value;1;random_bot-1;Picasso;10
2020-01-23 14:52:53.927300;value;2;random_bot-1;Da Vinci;10
2020-01-23 14:52:53.927300;value;3;random_bot-1;Van Gogh;10
2020-01-23 14:52:53.927300;value;4;random_bot-1;Van Gogh;10
2020-01-23 14:52:53.927300;value;5;random_bot-1;Rembrandt;10
2020-01-23 14:52:53.927300;value;6;random_bot-1;Rembrandt;10
2020-01-23 14:52:53.927300;value;7;random_bot-1;Da Vinci;10
2020-01-23 14:52:53.927300;value;8;random_bot-1;Picasso;10
2020-01-23 14:52:53.927300;value;9;random_bot-1;Van Gogh;10
2020-01-23 15:26:14.957562;collection;1;random_bot-3;Da Vinci;247
2020-01-23 15:26:14.957562;collection;2;random_bot-3;Da Vinci;547
2020-01-23 15:26:14.957562;collection;3;random_bot-3;Da Vinci;125
2020-01-23 15:26:14.957562;collection;4;random_bot-3;Da Vinci;62
2020-01-23 15:26:14.957562;collection;5;1234321-1;Rembrandt;50
2020-01-23 15:26:14.957562;collection;6;1234321-1;Rembrandt;50
2020-01-23 15:26:14.957562;collection;7;1234321-1;Da Vinci;50
2020-01-23 15:26:14.957562;collection;8;1234321-1;Picasso;50
2020-01-23 15:26:14.957562;collection;9;1234321-1;Picasso;50
2020-01-23 15:26:14.957562;collection;10;1234321-1;Da Vinci;50
2020-01-23 15:26:14.957562;collection;11;1234321-1;Picasso;50
2020-01-23 15:26:14.957562;collection;12;1234321-1;Rembrandt;50
2020-01-23 15:26:14.957562;collection;13;1234321-1;Van Gogh;50
2020-01-23 15:26:14.957562;collection;14;1234321-1;Van Gogh;50
2020-01-23 15:26:14.957562;collection;15;1234321-1;Rembrandt;50
2020-01-23 15:26:26.297477;collection;1;random_bot-3;Picasso;900
2020-01-23 15:26:26.297477;collection;2;random_bot-3;Da Vinci;70
2020-01-23 15:26:26.297477;collection;3;1234321-1;Rembrandt;50
2020-01-23 15:26:26.297477;collection;4;1234321-1;Picasso;50
2020-01-23 15:26:26.297477;collection;5;1234321-1;Da Vinci;50
2020-01-23 15:26:26.297477;collection;6;1234321-1;Picasso;50
2020-01-23 15:26:26.297477;collection;7;1234321-1;Da Vinci;50
2020-01-23 15:26:26.297477;collection;8;1234321-1;Van Gogh;50
2020-01-23 15:26:26.297477;collection;9;1234321-1;Picasso;50
2020-01-23 15:26:26.297477;collection;10;1234321-1;Rembrandt;50
2020-01-23 15:26:26.297477;collection;11;1234321-1;Rembrandt;50
2020-01-23 15:26:26.297477;collection;12;1234321-1;Picasso;50
2020-01-23 15:27:31.873546;value;1;1234321-1;Da Vinci;177
2020-01-23 15:27:31.873546;value;2;1234321-1;Picasso;476
2020-01-23 15:27:31.873546;value;3;random_bot-3;Rembrandt;183
2020-01-23 15:27:31.873546;value;4;random_bot-3;Van Gogh;152
2020-01-23 15:27:31.873546;value;5;1234321-1;Picasso;266
2020-01-23 15:27:31.873546;value;6;random_bot-3;Rembrandt;57
2020-01-23 15:27:31.873546;value;7;random_bot-3;Picasso;10
2020-01-23 15:27:31.873546;value;8;random_bot-3;Da Vinci;76
2020-01-23 15:27:31.873546;value;9;random_bot-3;Picasso;55
2020-01-23 15:27:31.873546;value;10;random_bot-3;Rembrandt;77
2020-01-23 15:27:31.873546;value;11;random_bot-3;Van Gogh;47
2020-01-23 15:27:31.873546;value;12;random_bot-3;Da Vinci;78
2020-01-23 15:27:31.873546;value;13;random_bot-3;Picasso;61
2020-01-23 15:27:31.873546;value;14;random_bot-3;Rembrandt;81
2020-01-23 15:27:31.873546;value;15;random_bot-3;Rembrandt;81
2020-01-23 15:27:31.873546;value;16;1234321-1;Van Gogh;10
2020-01-23 15:27:31.873546;value;17;random_bot-3;Picasso;15
2020-01-23 15:27:31.873546;value;18;1234321-1;Picasso;10
2020-01-23 15:27:31.873546;value;19;flat_bot_10-2;Van Gogh;7
2020-01-23 15:27:31.873546;value;20;1234321-1;Van Gogh;10
2020-01-23 15:27:31.873546;value;21;1234321-1;Picasso;10
2020-01-23 15:27:31.873546;value;22;random_bot-3;Rembrandt;13
2020-01-23 15:27:31.873546;value;23;1234321-1;Da Vinci;11
2020-01-23 15:27:31.873546;value;24;1234321-1;Rembrandt;10
2020-01-23 15:27:31.873546;value;25;1234321-1;Da Vinci;10
2020-01-23 15:27:31.873546;value;26;1234321-1;Van Gogh;10
2020-01-23 15:27:31.873546;value;27;random_bot-3;Da Vinci;10
2020-01-23 15:27:31.873546;value;28;flat_bot_10-2;Van Gogh;1
2020-01-23 15:27:31.873546;value;29;flat_bot_10-2;Picasso;5
2020-01-23 15:27:31.873546;value;30;flat_bot_10-2;Van Gogh;5
2020-01-23 15:27:31.873546;value;31;flat_bot_10-2;Rembrandt;5
2020-01-23 15:27:31.873546;value;32;flat_bot_10-2;Van Gogh;5
2020-01-23 15:27:31.873546;value;33;flat_bot_10-2;Rembrandt;3
2020-01-23 15:27:31.873546;value;34;flat_bot_10-2;Rembrandt;5
2020-01-23 15:27:31.873546;value;35;flat_bot_10-2;Picasso;5
2020-01-23 15:27:31.873546;value;36;flat_bot_10-2;Rembrandt;0
2020-01-23 15:27:31.873546;value;37;flat_bot_10-2;Van Gogh;3
2020-01-23 15:27:31.873546;value;38;flat_bot_10-2;Picasso;5
2020-01-23 15:27:31.873546;value;39;flat_bot_10-2;Picasso;1
2020-01-23 15:27:31.873546;value;40;flat_bot_10-2;Van Gogh;1
2020-01-23 15:27:31.873546;value;41;flat_bot_10-2;Rembrandt;2
2020-01-23 15:27:31.873546;value;42;flat_bot_10-2;Rembrandt;0
2020-01-23 15:27:31.873546;value;43;flat_bot_10-2;Van Gogh;1
2020-01-23 15:27:31.873546;value;44;flat_bot_10-2;Da Vinci;1
2020-01-23 15:27:31.873546;value;45;flat_bot_10-2;Picasso;5
2020-01-23 15:27:31.873546;value;46;flat_bot_10-2;Picasso;1
2020-01-23 15:27:31.873546;value;47;flat_bot_10-2;Da Vinci;5
2020-01-23 15:27:31.873546;value;48;flat_bot_10-2;Picasso;0
2020-01-23 15:27:31.873546;value;49;flat_bot_10-2;Picasso;2
2020-01-23 15:27:31.873546;value;50;flat_bot_10-2;Van Gogh;5
2020-01-23 15:27:31.873546;value;51;flat_bot_10-2;Rembrandt;1
2020-01-23 15:27:31.873546;value;52;flat_bot_10-2;Rembrandt;0
2020-01-23 15:27:31.873546;value;53;flat_bot_10-2;Rembrandt;2
2020-01-23 15:27:31.873546;value;54;flat_bot_10-2;Picasso;4
2020-01-23 15:27:31.873546;value;55;flat_bot_10-2;Da Vinci;5
2020-01-23 15:27:31.873546;value;56;flat_bot_10-2;Van Gogh;1
2020-01-23 15:27:31.873546;value;57;flat_bot_10-2;Da Vinci;5
2020-01-23 15:27:31.873546;value;58;flat_bot_10-2;Da Vinci;1
2020-01-23 15:27:31.873546;value;59;flat_bot_10-2;Rembrandt;3
2020-01-23 15:27:31.873546;value;60;flat_bot_10-2;Rembrandt;0
2020-01-23 15:27:31.873546;value;61;flat_bot_10-2;Da Vinci;2
2020-01-23 15:27:31.873546;value;62;flat_bot_10-2;Van Gogh;3
2020-01-23 15:27:31.873546;value;63;flat_bot_10-2;Rembrandt;4
2020-01-23 15:27:31.873546;value;64;flat_bot_10-2;Van Gogh;4
2020-01-23 15:27:31.873546;value;65;flat_bot_10-2;Rembrandt;2
2020-01-23 15:27:31.873546;value;66;flat_bot_10-2;Picasso;2
2020-01-23 15:27:31.873546;value;67;flat_bot_10-2;Van Gogh;0
2020-01-23 15:27:31.873546;value;68;flat_bot_10-2;Da Vinci;5
2020-01-23 15:27:31.873546;value;69;flat_bot_10-2;Rembrandt;5
2020-01-23 15:27:31.873546;value;70;flat_bot_10-2;Van Gogh;1
2020-01-23 15:27:31.873546;value;71;flat_bot_10-2;Van Gogh;5
2020-01-23 15:27:31.873546;value;72;flat_bot_10-2;Picasso;2
2020-01-23 15:27:31.873546;value;73;flat_bot_10-2;Picasso;4
2020-01-23 15:27:31.873546;value;74;flat_bot_10-2;Van Gogh;2
2020-01-23 15:27:31.873546;value;75;flat_bot_10-2;Rembrandt;4
2020-01-23 15:27:31.873546;value;76;flat_bot_10-2;Picasso;2
2020-01-23 15:27:31.873546;value;77;flat_bot_10-2;Picasso;2
2020-01-23 15:27:31.873546;value;78;flat_bot_10-2;Rembrandt;1
2020-01-23 15:27:31.873546;value;79;flat_bot_10-2;Da Vinci;5
2020-01-23 15:27:31.873546;value;80;flat_bot_10-2;Rembrandt;5
2020-01-23 15:27:31.873546;value;81;flat_bot_10-2;Van Gogh;4
2020-01-23 15:27:31.873546;value;82;flat_bot_10-2;Van Gogh;3
2020-01-23 15:27:31.873546;value;83;flat_bot_10-2;Picasso;1
2020-01-23 15:27:31.873546;value;84;flat_bot_10-2;Picasso;1
2020-01-23 15:27:31.873546;value;85;flat_bot_10-2;Rembrandt;2
2020-01-23 15:27:31.873546;value;86;flat_bot_10-2;Da Vinci;4
2020-01-23 15:27:31.873546;value;87;flat_bot_10-2;Da Vinci;2
2020-01-23 15:27:31.873546;value;88;flat_bot_10-2;Da Vinci;4
2020-01-23 15:27:31.873546;value;89;flat_bot_10-2;Da Vinci;1
2020-01-23 15:27:31.873546;value;90;flat_bot_10-2;Van Gogh;1
2020-01-23 15:27:31.873546;value;91;flat_bot_10-2;Rembrandt;0
2020-01-23 15:27:31.873546;value;92;flat_bot_10-2;Rembrandt;1
2020-01-23 15:27:31.873546;value;93;flat_bot_10-2;Rembrandt;2
2020-01-23 15:27:31.873546;value;94;flat_bot_10-2;Da Vinci;3
2020-01-23 15:27:31.873546;value;95;flat_bot_10-2;Da Vinci;1
2020-01-23 15:27:31.873546;value;96;flat_bot_10-2;Da Vinci;5
2020-01-23 15:27:31.873546;value;97;flat_bot_10-2;Picasso;2
2020-01-23 15:27:31.873546;value;98;flat_bot_10-2;Van Gogh;4
2020-01-23 15:27:31.873546;value;99;flat_bot_10-2;Da Vinci;5
2020-01-23 15:27:31.873546;value;100;flat_bot_10-2;Rembrandt;1
2020-01-23 15:27:31.873546;value;101;flat_bot_10-2;Van Gogh;1
2020-01-23 15:27:31.873546;value;102;flat_bot_10-2;Picasso;2
2020-01-23 15:27:31.873546;value;103;flat_bot_10-2;Da Vinci;4
2020-01-23 15:27:31.873546;value;104;flat_bot_10-2;Van Gogh;3
2020-01-23 15:27:31.873546;value;105;flat_bot_10-2;Da Vinci;3
2020-01-23 15:27:31.873546;value;106;flat_bot_10-2;Da Vinci;1
